用語,読み,訳語候補番号,訳語候補,使い分け基準,用例(和文),用例(英文),用例出典,注釈,
雇用,こよう,,employment,,,,,,
雇用対策,こようたいさく,,employment measures,,,,,,
婚姻,こんいん,,marriage,,,,,,
婚姻関係,こんいんかんけい,,marital relationship,,,,,,
混同,こんどう,1,confusion,異なるものが混ざること,混同,confusion of rights,民法179条見出し,,
混同,こんどう,2,merger,相対立する二つの法律上の地位が同一人に帰すること,連帯債務者の一人との間の混同,merger with one joint and several obligor,民法438条,,
混同,こんどう,3,commingle,,,,,,
混和,こんわ,1,mixture,別々の所有者に属する物が識別・分離できなくなること,所有者を異にする物が混和して識別することができなくなった場合,cases where the Things of different owners are mixed together and can no longer be distinguished,民法245条,,
混和,こんわ,2,commingling,穀類・材木・株式等が混合して保管されること,,,,,
在外者,ざいがいしゃ,,overseas resident,,,,,,
サービス業,さあびすぎょう,1,service industry,,,,,,
サービス業,さあびすぎょう,2,service sector,,,,,,
災害対策,さいがいたいさく,,disaster control measures,,災害対策本部,headquarters for disaster control,,,
災害派遣,さいがいはけん,,disaster relief operation,,,,,,
災害復旧,さいがいふっきゅう,,disaster recovery efforts,,,,,,
災害復旧事業,さいがいふっきゅうじぎょう,,disaster recovery project,,,,,,
災害補償,さいがいほしょう,,accident compensation,,,,,,
裁決,さいけつ,,determination,,,,,,
裁決の取消しの訴え,さいけつのとりけしのうったえ,,action for revocation of administrative disposition on appeal,,,,,,
債権,さいけん,1,claim,,金銭債権,monetary claim,電子記録債権法2条,,
債権,さいけん,1,claim,,自己の労力の提供又は演芸を業とする者の報酬又はその供給した物の代価に係る債権,"a claim for remuneration of any person whose business is to provide the person's own labor or performing art, or the price of the Thing supplied by such person",民法174条,,
債権,さいけん,2,(account) receivable,,,,,,
債権,さいけん,3,credit,,使用者は、前借金その他労働することを条件とする前貸の債権と賃金を相殺してはならない。,An employer must not set-off wages against advances of money or advances of other credits made as a condition for work.,労働基準法17条,,
債権,さいけん,4,right in personam,,,,,,
債券,さいけん,,bond (certificate),,,,,,
債権質,さいけんしち,1,pledge on claim,,,,,,
債権質,さいけんしち,2,pledge of claim,,,,,,
債権者,さいけんしゃ,1,obligee,債権一般の場合,債務者がその債務の本旨に従った履行をしないときは、債権者は、これによって生じた損害の賠償を請求することができる,"If an obligor fails to perform consistent with the purpose of its obligation, the obligee is entitled to demand damages arising from such failure",民法415条1項,,
債権者,さいけんしゃ,2,creditor,特に金銭債権を指す場合、倒産法の場合,,,,,
債権者委員会,さいけんしゃいいんかい,,creditors' committee,,,,,,
債権者一覧表,さいけんしゃいちらんひょう,,list of creditors,,,,,【注】（出典）破産規則14条1項,
債権者集会,さいけんしゃしゅうかい,,meeting of creditors,,,,,,
債権者代位権,さいけんしゃだいいけん,,obligee's subrogation right,,,,,,
債権者代位訴訟,さいけんしゃだいいそしょう,,action under obligee's subrogation right,,,,,,
債権者の一般の利益,さいけんしゃのいっぱんのりえき,,common interests of the creditors,,,,,,
債権者表,さいけんしゃひょう,,schedule of creditors,,,,,,
債権者名簿,さいけんしゃめいぼ,,list of holders of dischargeable claims,,,,,,
債権者を害する行為,さいけんしゃをがいするこうい,,act that would prejudice creditors,,,,,【注】（出典）破産法160条1項、民事再生法127条1項,
債権証書,さいけんしょうしょ,,claim deed,,,,,,
債権届出期間,さいけんとどけできかん,,period for filing of proofs of claims,,,,,,
債権の調査及び確定,さいけんのちょうさおよびかくてい,,investigation and determination of claims,,,,,,
債権の届出,さいけんのとどけで,,filing of proofs of claims,,,,,,
再抗告,さいこうこく,,re-appeal from an appeal from a ruling,,,,,,
最高裁判所,さいこうさいばんしょ,,Supreme Court,,,,,,
再交付,さいこうふ,1,redelivery,原則,,,,,
再交付,さいこうふ,2,reissuance,命令・免許等,,,,,
催告,さいこく,1,demand,債務の履行を催告する場合,催告の抗弁及び検索の抗弁の効果,Effect of Defense of Demand and Defense of Debtor's Solvency,民法455条,,
催告,さいこく,2,notice,権利の行使又は申出を催告する場合,知れている債権者には、各別にこれを催告しなければならない,must give such notices separately to each known creditor,会社法449条,,
催告,さいこく,3,requisition,民事訴訟規則4条などの場合,,,,,
催告,さいこく,4,demand letter,催告状の趣旨の場合,社債発行会社が社債権者に対してする通知又は催告は、社債原簿に記載し、又は記録した当該社債権者の住所にあてて発すれば足りる。,It is sufficient for a notice or demand letter to bondholders to be sent by a bond-issuing Company to the address of such bondholders stated or recorded in the bond register.,会社法685条1項,,
催告の抗弁,さいこくのこうべん,,defense of demand,,,,,,
最後配当,さいごはいとう,,final distribution,,,,,,
再雇用,さいこよう,,rehire,,,,,,
再婚,さいこん,,re-marriage,,,,,,
財産,ざいさん,1,property,,出資は、金銭以外の財産ですることができない,Contribution may not be made by using any property other than money.,商品取引所法,,
財産,ざいさん,2,assets,,抵当不動産以外の財産からの弁済,Payment from Assets other than Mortgaged real property,民法394条,,
財産開示手続,ざいさんかいじてつづき,,assets disclosure procedure,,,,,【注】（出典）民事執行法196条,
財産権,ざいさんけん,,property right,,,,,,
財産上の不正な利益,ざいさんじょうのふせいなりえき,,unlawful economic benefit,,,,,,
財産上の利益,ざいさんじょうのりえき,,economic benefit,,,,,,
財産的基礎,ざいさんてききそ,,financial basis,,,,,,
財産分与,ざいさんぶんよ,,distribution of property,,協議上の離婚をした者の一方は、相手方に対して財産の分与を請求することができる,One party to a divorce by agreement may claim a distribution of property from the other party,民法第768条１項,,
財産分離,ざいさんぶんり,,division of property,,,,,,
財産目録,ざいさんもくろく,,inventory of assets,,,,,,
祭祀,さいし,1,worship,,祭祀に関する権利の承継,assumption of rights relating to worship,民法897条見出し,,
祭祀,さいし,2,religious services dedicated to,,,,,,
再資源化,さいしげんか,,recycling,,,,,,
再資源化事業,さいしげんかじぎょう,,recycling business,,,,,,
最終事業年度,さいしゅうじぎょうねんど,,most recent business year,,,,,【注】会社法の場合,
再就職,さいしゅうしょく,,re-employment,,,,,,
最終処分場,さいしゅうしょぶんじょう,,final disposal site,,,,,,
最終日,さいしゅうび,,last day,,,,,,
再使用,さいしよう,,reuse,,,,,,
罪証,ざいしょう,,evidence,,,,,,
再商品化,さいしょうひんか,,recycling,,,,,,
再処理,さいしょり,,reprocessing,,,,,,
再審,さいしん,,retrial,,,,,,
再審開始の決定,さいしんかいしのけってい,,order of commencement of retrial,,,,,,
再審査,さいしんさ,1,re-examination,,,,,,
再審査,さいしんさ,2,review,,その処分に対する再審査の申立てを却下する,dismiss an appeal for review of such dispositions,労働組合法25条2項,,
再審査請求,さいしんさせいきゅう,,request for re-examination,,,,,,
再審の訴え,さいしんのうったえ,,action for retrial,,,,,,
再審の事由,さいしんのじゆう,,grounds for retrial,,,,,,
再尋問,さいじんもん,,re-examination,,,,,,
再生,さいせい,1,rehabilitation,民事再生法上の手続,,,,,
再生,さいせい,2,recycle,再利用,,,,,
再生,さいせい,3,recovery,回復,,,,,
再生,さいせい,4,revitalization,「活力の再生」のような場合,,,,,
財政,ざいせい,,finance,,,,,,
再生計画,さいせいけいかく,,(proposed) rehabilitation plan,,,,,,
再生計画認可,さいせいけいかくにんか,,confirmation/disconfirmation of the rehabilitation plan,,,,,,
再生計画の取消し,さいせいけいかくのとりけし,,revocation of the rehabilitation plan,,,,,【注】（出典）民事再生法189条,
再生債権,さいせいさいけん,,rehabilitation claim,,,,,,
再生債権者,さいせいさいけんしゃ,,rehabilitation creditors,,,,,,
再生裁判所,さいせいさいばんしょ,,rehabilitation court,,,,,,
再生債務者,さいせいさいむしゃ,,rehabilitation debtor,,,,,,
再生債務者財産,さいせいさいむしゃざいさん,,rehabilitation debtor's assets,,,,,,
再生事件,さいせいじけん,,rehabilitation case,,,,,,
財政上の,ざいせいじょうの,1,financial,原則,,,,,
財政上の,ざいせいじょうの,2,fiscal,「金融」と並列的に用いる場合,,,,,
再生手続,さいせいてつづき,,rehabilitation proceeding(s),,,,,,
再生手続開始,さいせいてつづきかいし,,commencement of rehabilitation proceeding(s),,,,,,
再生手続開始の申立て,さいせいてつづきかいしのもうしたて,,petition for commencement of rehabilitation proceeding(s),,,,,,
